Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.1,19 May,15:30,Shanganagh Park,Cuala A,"
										1-8
									","
										4-7
									",Kilmacud Crokes A,John Rutherford  Ballyboden St Enda
U16 Football League Div.1,19 May,15:30,Bridgefield,St Sylvesters A,"
										2-6
									","
										2-7
									",Lucan Sarsfields A,PJ Murray-St Finians S
U16 Football League Div.1,19 May,15:30,Ballycullen,Ballyboden St Endas A,"
										1-15
									","
										3-11
									",Castleknock A,Adam Kelly - Lucan Sarsfields
U16 Football League Div.1,19 May,15:30,Marlay Pk,Ballinteer St Johns A,"
										1-13
									","
										2-10
									",Naomh OP ER,Craig McKeown St. Annes
U16 Football League Div.1,17 May,19:30,Silver Park,Kilmacud Crokes A,"
										2-8
									","
										4-15
									",Castleknock A,Ronnie Malone-St Marys
U16 Football League Div.1,28 Apr,16:30,Martin Savage Park,Naomh OP ER,"
										2-16
									","
										4-6
									",Ballyboden St Endas A,Terry Carton  Naomh Fionnbarra
U16 Football League Div.1,28 Apr,15:30,Balheary,Fingallians,"
										0-7
									","
										6-15
									",Ballinteer St Johns A,PJ Murray-St Finians S
U16 Football League Div.1,28 Apr,15:30,Porterstown,Castleknock A,"
										5-19
									","
										3-8
									",St Sylvesters A,Kevin Donohoe-Naomh Fionnbarra
U16 Football League Div.1,28 Apr,15:30,12th Lock,Lucan Sarsfields A,"
										1-15
									","
										2-11
									",Cuala A,Paul Flanagan-St James Gaels
U16 Football League Div.1,28 Apr,15:30,Silver Park,Kilmacud Crokes A,"
										2-10
									","
										1-4
									",St Patricks D,Robert Doyle - Round Towers C
U16 Football League Div.1,17 Apr,19:00,12th Lock,Lucan Sarsfields A,"
										4-10
									","
										1-7
									",Fingallians,John Rutherford  Ballyboden St Enda
U16 Football League Div.1,17 Apr,19:00,Ballamastone-Donabate,St Patricks D,"
										2-7
									","
										2-12
									",Naomh OP ER,Damien Gilmore-Skerries Harps
U16 Football League Div.1,14 Apr,15:30,Pairc de Burca-Glenalbyn,Kilmacud Crokes A,"
										4-8
									","
										2-11
									",Fingallians,Eamonn Dromgoole English - Cuala
U16 Football League Div.1,14 Apr,15:30,Ballycullen,Ballyboden St Endas A,"
										3-8
									","
										2-9
									",Ballinteer St Johns A,Adam Kelly - Lucan Sarsfields
U16 Football League Div.1,14 Apr,15:30,Ballamastone-Donabate,St Patricks D,"
										3-13
									","
										1-9
									",Lucan Sarsfields A,Dave Aston Naomh Mearnog
U16 Football League Div.1,14 Apr,15:30,Shanganagh Park,Cuala A,"
										3-10
									","
										5-11
									",Castleknock A,Ronnie Malone-St Marys
U16 Football League Div.1,14 Apr,15:30,Bridgefield,St Sylvesters A,"
										4-7
									","
										2-14
									",Naomh OP ER,Derek Doran  St Colmcilles
U16 Football League Div.1,24 Mar,15:00,Balheary,Fingallians,"
										2-11
									","
										3-17
									",Ballyboden St Endas A,Brian Doran-St Colmcilles
U16 Football League Div.1,24 Mar,15:00,Marlay Pk,Ballinteer St Johns A,"
										5-18
									","
										0-5
									",St Sylvesters A,Craig Curtis  Round Towers C
U16 Football League Div.1,24 Mar,15:00,Somerton ,Castleknock A,"
										2-12
									","
										1-8
									",St Patricks D,Terry Carton  Naomh Fionnbarra
U16 Football League Div.1,24 Mar,15:00,12th Lock,Lucan Sarsfields A,"
										3-10
									","
										3-13
									",Kilmacud Crokes A,Fergus McGreevy Nh. OP/ER
U16 Football League Div.1,10 Mar,15:00,Shanganagh Park,Cuala A,"
										0-6
									","
										3-6
									",Ballinteer St Johns A,Robert Doyle - Round Towers C
U16 Football League Div.1,10 Mar,15:00,Bridgefield,St Sylvesters A,"
										1-7
									","
										1-16
									",Ballyboden St Endas A,Robert Fennelly  Trinity Gaels
U16 Football League Div.1,24 Feb,15:00,Balheary,Fingallians,"
										1-8
									","
										3-2
									",St Sylvesters A,Derek Doran  St Colmcilles
U16 Football League Div.1,24 Feb,15:00,Ballycullen,Ballyboden St Endas A,"
										1-10
									","
										3-9
									",Cuala A,Mark Carroll St. Annes
U16 Football League Div.1,24 Feb,15:00,Loreto Park,Ballinteer St Johns A,"
										1-11
									","
										0-6
									",St Patricks D,Donal Downes Lucan Sarsfields
U16 Football League Div.1,24 Feb,15:00,Somerton ,Castleknock A,"
										2-12
									","
										3-12
									",Lucan Sarsfields A,Finbar Gaffney Na Fianna
U16 Football League Div.1,24 Feb,13:30,Martin Savage Park,Naomh OP ER,"
										5-13
									","
										1-0
									",Kilmacud Crokes A,Kevin Donohoe-Naomh Fionnbarra
U16 Football League Div.1,17 Feb,15:00,Porterstown,Castleknock A,"
										3-11
									","
										2-12
									",Fingallians,Tom Tansey  St Brendan's
U16 Football League Div.1,17 Feb,15:00,Silver Park,Kilmacud Crokes A,"
										0-2
									","
										2-12
									",Ballinteer St Johns A,Senan Finucane-Templeogue Synge Street
U16 Football League Div.1,17 Feb,15:00,Ballamastone-Donabate,St Patricks D,"
										1-8
									","
										3-14
									",Ballyboden St Endas A,Karl Keane  Fingallians
U16 Football League Div.1,17 Feb,15:00,Shanganagh Park,Cuala A,"
										3-16
									","
										4-11
									",St Sylvesters A,Daniel Hussey - Geraldine P. Moran
U16 Football League Div.1,17 Feb,15:00,12th Lock,Lucan Sarsfields A,"
										2-5
									","
										2-10
									",Naomh OP ER,Darren Malone St Marys
U16 Football League Div.1,11 Feb,14:30,Balheary,Fingallians,"
										2-4
									","
										1-9
									",Cuala A,Ciarán Reilly - Na Fianna
U16 Football League Div.1,10 Feb,15:00,Broomfield,St Sylvesters A,"
										3-12
									","
										2-19
									",St Patricks D,Brian Doran-St Colmcilles
U16 Football League Div.1,10 Feb,15:00,Ballycullen,Ballyboden St Endas A,"
										1-14
									","
										3-7
									",Kilmacud Crokes A,Philip Carr-Round Towers C
U16 Football League Div.1,10 Feb,15:00,Loreto Park,Ballinteer St Johns A,"
										6-14
									","
										0-7
									",Lucan Sarsfields A,Craig Curtis  Round Towers C
U16 Football League Div.1,10 Feb,15:00,Martin Savage Park,Naomh OP ER,"
										0-9
									","
										3-12
									",Castleknock A,Andrew Larkin  St Peregrines
U16 Football League Div.3,22 Aug,19:15,Ellenfield Park,Whitehall Colmcille,"
										W/O
									","
										W/O
									",St Peters,Derek Doran  St Colmcilles
U16 Football League Div.3,03 Jul,19:30,Saggart,St Marys S,"
										W/O
									","
										W/O
									",Erins Isle,Dave O Donovan St Marks
U16 Football League Div.3,03 Jul,19:30,McGee Park,St Marks,"
										1-1
									","
										0-0
									",St Judes,Donal Downes Lucan Sarsfields
U16 Football League Div.3,03 Jul,19:30,Naul,St Peters,"
										5-12
									","
										0-5
									",St Brigids,Mick Joyce St Colmcilles
U16 Football League Div.3,03 Jul,19:30,St Annes 14,Naomh Barrog,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,25 May,19:00,Pairc Ciceam,Ballymun Kickhams,"
										1-15
									","
										0-8
									",Whitehall Colmcille,Alan Burke - Na Dubh Ghall
U16 Football League Div.3,19 May,15:30,Pairc Ciceam,Ballymun Kickhams,"
										3-8
									","
										0-5
									",Erins Isle,Dave Aston Naomh Mearnog
U16 Football League Div.3,19 May,15:30,Collins Avenue,Whitehall Colmcille,"
										0-13
									","
										0-5
									",Naomh Barrog,Finbar Gaffney Na Fianna
U16 Football League Div.3,19 May,15:30,St Davids ,Parnells,"
										
									","
										
									",St Peters,TBC
U16 Football League Div.3,19 May,15:30,Russell Park,St Brigids,"
										1-6
									","
										0-10
									",St Marks,Adam McGrane  Nh. Barróg
U16 Football League Div.3,19 May,15:30,Tymon Park,St Judes,"
										W/O
									","
										W/O
									",St Marys S,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.3,17 May,19:30,Collins Avenue,Whitehall Colmcille,"
										2-9
									","
										2-10
									",St Marks,Dave Sweeney Nh. OP/ER
U16 Football League Div.3,28 Apr,15:30,Finglas,Erins Isle,"
										5-9
									","
										4-10
									",St Judes,Thomas Gleeson-Naomh Fionnbarra
U16 Football League Div.3,28 Apr,15:30,Saggart,St Marys S,"
										3-10
									","
										3-14
									",St Brigids,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.3,28 Apr,15:30,McGee Park,St Marks,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,28 Apr,15:30,Naul,St Peters,"
										2-8
									","
										2-10
									",Whitehall Colmcille,Derek Doran  St Colmcilles
U16 Football League Div.3,28 Apr,15:30,St Annes 14,Naomh Barrog,"
										W/O
									","
										W/O
									",Ballymun Kickhams,Tim McCarthy Snr-St Vincents
U16 Football League Div.3,26 Apr,19:00,Naul,St Peters,"
										7-10
									","
										2-3
									",Erins Isle,Mick Joyce St Colmcilles
U16 Football League Div.3,26 Apr,19:00,St Annes 14,Naomh Barrog,"
										3-6
									","
										1-13
									",St Marks,Tim McCarthy Snr-St Vincents
U16 Football League Div.3,17 Apr,19:00,Tymon Park,St Judes,"
										3-12
									","
										6-10
									",St Peters,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.3,17 Apr,19:00,Rathcoole Park,St Marys S,"
										2-10
									","
										1-4
									",St Marks,Jonny Jackson - Thomas Davis
U16 Football League Div.3,14 Apr,15:30,St Annes 14,Naomh Barrog,"
										0-6
									","
										2-10
									",Erins Isle,Damien Burnett  Craobh Chiarain
U16 Football League Div.3,14 Apr,15:30,Russell Park,St Brigids,"
										10-29
									","
										1-5
									",St Judes,Fergus McGreevy Nh. OP/ER
U16 Football League Div.3,14 Apr,15:30,St Davids ,Parnells,"
										
									","
										
									",St Marys S,TBC
U16 Football League Div.3,13 Apr,19:00,Pairc Ciceam,Ballymun Kickhams,"
										3-13
									","
										0-13
									",St Peters,Alan Burke - Na Dubh Ghall
U16 Football League Div.3,24 Mar,15:30,Tymon Park,St Judes,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,24 Mar,15:00,Finglas,Erins Isle,"
										2-8
									","
										0-6
									",St Brigids,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.3,24 Mar,15:00,Saggart,St Marys S,"
										1-6
									","
										2-11
									",Whitehall Colmcille,Shay Hurson-Lucan Sarsfields
U16 Football League Div.3,24 Mar,15:00,McGee Park,St Marks,"
										1-6
									","
										6-17
									",Ballymun Kickhams,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.3,24 Mar,15:00,Naul,St Peters,"
										4-13
									","
										2-8
									",Naomh Barrog,Damien Gilmore-Skerries Harps
U16 Football League Div.3,10 Mar,15:30,St Davids ,Parnells,"
										
									","
										
									",St Brigids,TBC
U16 Football League Div.3,10 Mar,15:00,Collins Avenue,Whitehall Colmcille,"
										W/O
									","
										W/O
									",St Judes,Damien Burnett - Craobh Chirain
U16 Football League Div.3,10 Mar,15:00,Pairc Ciceam,Ballymun Kickhams,"
										3-14
									","
										3-5
									",St Marys S,Fergus McGreevy Nh. OP/ER
U16 Football League Div.3,24 Feb,15:30,Finglas,Erins Isle,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,24 Feb,15:00,Russell Park,St Brigids,"
										0-4
									","
										1-17
									",Whitehall Colmcille,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.3,24 Feb,15:00,Tymon Park,St Judes,"
										W/O
									","
										W/O
									",Ballymun Kickhams,Lee Moroney-St Annes
U16 Football League Div.3,24 Feb,15:00,Saggart,St Marys S,"
										7-6
									","
										1-7
									",Naomh Barrog,Philip Carr-Round Towers C
U16 Football League Div.3,24 Feb,15:00,McGee Park,St Marks,"
										1-1
									","
										4-11
									",St Peters,Brian Gillespie - Ballyboden St. Enda
U16 Football League Div.3,17 Feb,15:00,McGee Park,St Marks,"
										0-5
									","
										3-5
									",Erins Isle,Tommie Clinton-Croi Ro Naofa
U16 Football League Div.3,17 Feb,15:00,St Annes 14,Naomh Barrog,"
										6-7
									","
										0-1
									",St Judes,Tim McCarthy Snr-St Vincents
U16 Football League Div.3,17 Feb,15:00,Pairc Ciceam,Ballymun Kickhams,"
										4-17
									","
										0-1
									",St Brigids,PJ Murray-St Finians S
U16 Football League Div.3,17 Feb,15:00,Collins Avenue,Whitehall Colmcille,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,17 Feb,15:00,Naul,St Peters,"
										3-13
									","
										3-12
									",St Marys S,Robert Fennelly  Trinity Gaels
U16 Football League Div.3,10 Feb,15:00,Finglas,Erins Isle,"
										1-7
									","
										6-12
									",Whitehall Colmcille,John Higgins-Na Fianna
U16 Football League Div.3,10 Feb,15:00,Chanel,Parnells,"
										
									","
										
									",Ballymun Kickhams,Colm McCarthy-St Vincents
U16 Football League Div.3,10 Feb,15:00,Russell Park,St Brigids,"
										2-3
									","
										0-4
									",Naomh Barrog,Damien Burnett  Craobh Chiarain
U16 Football League Div.4,12 Jul,19:30,John Paul Park,Naomh Fionnbarra,"
										2-7
									","
										2-11
									",Clanna Gael Fontenoy,Luke Lacey Na Fianna
U16 Football League Div.4,03 Jul,19:30,Porterstown,Castleknock B,"
										W/O
									","
										W/O
									",O Tooles,Dave Sweeney Nh. OP/ER
U16 Football League Div.4,03 Jul,19:30,Bushy Park,Templeogue Synge Street,"
										4-13
									","
										2-7
									",Lucan Sarsfields B,Anthony Clinton-Croi Ro Naofa
U16 Football League Div.4,03 Jul,19:30,Ballycullen,Ballyboden St Endas B,"
										3-16
									","
										4-11
									",Round Towers C,Chris McGinn Clontarf
U16 Football League Div.4,03 Jul,19:30,John Paul Park,Naomh Fionnbarra,"
										W/O
									","
										W/O
									",Round Towers L,Dave Aston Naomh Mearnog
U16 Football League Div.4,30 Jun,13:00,Silver Park,Kilmacud Crokes B,"
										7-11
									","
										5-10
									",Lucan Sarsfields B,Craig Curtis  Round Towers C
U16 Football League Div.4,02 Jun,15:30,Sean Moore Park,Clanna Gael Fontenoy,"
										3-7
									","
										6-17
									",Kilmacud Crokes B,Kevin Donohoe-Naomh Fionnbarra
U16 Football League Div.4,19 May,15:30,John Paul Park,Naomh Fionnbarra,"
										W/O
									","
										W/O
									",O Tooles,Ciarán Reilly - Na Fianna
U16 Football League Div.4,19 May,15:30,Lusk,Round Towers L,"
										3-14
									","
										2-4
									",Ballyboden St Endas B,Mick Joyce St Colmcilles
U16 Football League Div.4,19 May,15:30,Community Centre,Round Towers C,"
										W/O
									","
										W/O
									",Clanna Gael Fontenoy,Ciarán Pollock - St. Annes
U16 Football League Div.4,19 May,15:30,Silver Park,Kilmacud Crokes B,"
										1-7
									","
										3-10
									",Templeogue Synge Street,Caomhan Bermingham Nh. Olaf
U16 Football League Div.4,19 May,15:30,12th Lock,Lucan Sarsfields B,"
										2-11
									","
										6-12
									",Castleknock B,Ronnie Malone-St Marys
U16 Football League Div.4,17 May,19:30,Community Centre,Round Towers C,"
										4-8
									","
										3-17
									",Kilmacud Crokes B,Seamus Keher - Lucan Sarsfields
U16 Football League Div.4,17 May,19:30,John Paul Park,Naomh Fionnbarra,"
										5-6
									","
										4-11
									",Castleknock B,Damien Burnett - Craobh Chirain
U16 Football League Div.4,28 Apr,15:30,St Annes 7,O Tooles,"
										W/O
									","
										W/O
									",Lucan Sarsfields B,Brian Moore-Craobh Chiarain
